id,date_of_birth,number_dependants,credit_utilization,debt_to_income_ratio,monthly_income,number_open_credit_lines,number_open_loans,number_90_days_past_due,number_charged_off,score1,score2,target
1,1993-03-14,1,0.03649467253866325,0.20889708947925129,2400,6,2,0,0,570,817,0
2,1966-09-27,1,0.023422560814950987,0.2604383833054151,2200,6,1,0,0,741,756,0
3,1931-01-11,2,0.027205261527401645,0.335922365351789,3000,6,1,0,1,805,779,0
4,1953-01-07,1,0.009141490394701994,0.35377857217507214,2100,2,4,0,0,573,829,0
5,1943-11-17,0,0.06842402233911825,0.31496558514232675,2500,2,3,0,0,833,629,0
6,1994-02-03,0,0.0010033306090358046,0.251699935338501,2500,6,6,0,1,830,587,0
7,1934-10-26,0,0.026720049952848046,0.39622048482687006,2100,1,0,0,0,764,797,0
8,1940-05-09,0,0.14777592192493408,0.517306938831711,2200,4,4,0,0,793,744,0
9,1994-09-05,0,0.08217527469147075,0.43662990904172727,2600,5,1,0,0,688,544,0
10,1996-02-05,0,0.05801760119223509,0.3396787090297684,2400,3,3,0,0,621,662,0
11,1950-10-10,0,0.03761646342118089,0.39130090592696737,2100,10,3,0,0,657,563,0
12,1948-10-05,1,0.0546658472786447,0.3155591954214302,2100,3,1,0,0,817,734,0
13,1997-10-07,0,0.11755535758622573,0.3302805856028637,2100,4,0,0,0,613,787,0
15,1947-02-15,0,0.02878714551791016,0.5396490375616613,2000,5,1,0,0,614,822,0
16,1970-08-21,0,0.032747562852824874,0.18636651720105796,2500,5,5,0,0,762,688,0
17,1947-08-04,0,0.007925510687709579,0.25503876554561133,2700,5,3,0,0,741,779,0
18,1940-07-13,1,0.08654999116544239,0.371398397531862,2000,6,1,0,0,827,549,0
19,1957-01-14,0,0.07022092575565399,0.3421752302376739,2000,5,3,0,0,550,551,0
20,1967-07-10,0,0.13141133873705865,0.23791744711458815,2300,3,2,0,0,559,587,0
21,1989-11-04,0,0.04585669784500346,0.3324697858302243,2000,4,2,0,0,755,602,0
22,1992-08-07,3,0.039930524028922935,0.24645046072108426,2100,10,4,0,0,665,575,0
23,1968-01-26,0,0.02038257536413823,0.1727559135011878,2000,6,1,0,0,555,500,0
25,1985-12-11,0,0.07734999219071417,0.24967567013205497,2300,5,1,1,0,835,505,0
26,1955-09-30,0,0.020318660508549347,0.5023163234403228,2000,8,1,0,0,767,635,0
27,1991-06-02,0,0.03624557227337466,0.359930793797141,2100,3,1,0,0,702,709,0
28,1928-07-29,1,0.09902338062459068,0.29774750757880347,2200,2,4,0,0,828,777,0
29,1970-05-22,1,0.019263788760172654,0.2005644377609036,2000,9,3,0,0,505,724,1
30,1966-06-03,1,0.009896528686130883,0.2919108376869633,2400,1,1,0,0,549,542,0
31,1942-09-20,0,0.0242512745925743,0.09295375572568289,2200,5,2,0,0,512,598,0
32,1992-05-07,1,0.022342341008511655,0.17478539247547403,2000,7,1,0,0,571,763,1
33,1968-07-14,0,0.004376992794764452,0.2599070227425174,2000,7,2,0,0,741,789,0
34,1934-10-13,0,0.018158500782463376,0.15437569734430165,2100,3,2,0,0,504,793,1
35,1959-05-22,0,0.014244137147403442,0.33434448006156814,2100,6,2,0,0,686,821,0
36,1984-09-03,0,0.01897956769963084,0.4179225597943422,2000,7,2,0,0,730,552,1
37,1981-01-09,0,0.11924056369816848,0.6352841857875604,2300,4,5,0,0,569,774,0
38,1957-06-14,0,0.06977872350189768,0.46816567706213563,2000,10,1,1,0,591,502,1
39,1976-07-05,0,0.012677463920410232,0.2862751351361979,2300,2,5,0,0,505,646,0
40,1987-06-19,3,0.004283059759500591,0.4048496752446771,2100,4,1,0,0,558,717,1
41,1959-07-29,0,0.030946186454649985,0.445100761567212,2200,4,5,0,0,645,684,0
42,1982-02-01,1,0.058442696486840195,0.4699417835127383,2100,5,1,0,0,569,644,0
43,1983-10-07,1,0.016323772177221717,0.3254008976488484,2000,7,1,0,0,566,681,0
44,1958-02-18,0,0.001584463900573155,0.5425719842320672,2200,3,2,0,0,804,706,0
45,1958-08-11,0,6.62838520752344e-05,0.23121885871512265,2000,6,3,0,0,700,791,0
46,1956-10-06,0,0.0036799840566294484,0.38914957895756463,2000,9,1,0,0,821,542,0
47,1928-05-30,0,0.0029461786694077187,0.3413578063079026,2100,8,1,0,0,656,594,0
48,1987-01-22,1,0.05066369188329749,0.24338055738234854,2100,1,3,0,0,618,814,0
49,1988-10-09,0,0.015254135820879111,0.3466180907722092,2100,3,3,0,0,809,807,0
50,1950-03-20,1,0.006693023090467472,0.37246456662995214,2200,4,2,0,0,735,661,0
51,1964-12-09,1,0.030710696846343585,0.10608219618696285,2200,7,2,0,0,778,740,0
52,1930-02-17,0,0.02483555320101068,0.10725861433584824,2100,2,0,0,1,716,569,1
53,1944-02-09,1,0.007380636109395982,0.45505094518084516,2000,0,2,0,0,629,829,0
54,1938-03-19,1,0.04379907484503347,0.31629178219398363,2100,6,2,1,0,698,585,0
55,1949-07-11,1,0.0895378381055234,0.11710957135468976,2000,2,1,0,0,658,722,0
56,1964-05-27,1,0.024796168252596677,0.4000810066480438,2100,7,0,0,0,821,688,0
57,1937-06-23,0,0.08092315645500307,0.38297051755669803,2100,3,1,0,0,811,723,0
58,1930-02-02,0,0.14537404096675902,0.6173312553121063,2200,7,3,0,0,788,555,0
59,1953-07-03,1,0.05263884357426745,0.4333737796506671,2200,10,2,0,0,688,659,0
60,1993-10-15,1,0.015176776134030253,0.3891301924813831,2000,2,3,0,0,692,777,0
61,1988-04-12,0,0.011578970399610138,0.4328818019654847,2100,5,0,0,0,804,510,1
62,1990-03-23,0,0.04313499050277968,0.3883379355158697,2100,2,0,0,0,537,834,0
63,1954-07-04,-1,0.1501754976604467,0.14563678047031284,3200,6,2,0,0,639,792,0
64,1947-04-01,1,0.1490049515465274,0.3186418397909838,2700,4,3,0,0,619,611,0
65,1978-03-25,0,0.04216675205790473,0.4232899814612913,2100,3,1,0,0,813,523,0
66,1942-02-12,1,0.026546557750822073,0.44231443795295644,2800,6,0,0,0,508,626,0
67,1971-01-03,0,0.007301610559312942,0.118182681559557,2000,6,5,0,0,731,815,0
68,1940-03-05,0,0.026764229420676577,0.25033907320417714,2400,4,3,0,0,505,656,0
69,1951-11-29,0,0.01462352782638342,0.2361516179400141,2200,3,2,1,0,628,723,0
70,1964-03-18,0,0.0036438000950045537,0.33502303450244186,2300,4,1,0,0,535,774,0
71,1953-03-29,1,0.0555274198862518,0.18413000328158563,2400,7,3,0,0,811,580,0
72,1990-06-15,0,0.02387355239709611,0.342353428347266,2200,2,0,0,0,791,556,0
73,1962-02-16,0,0.03941383199431426,0.2857973214927143,3000,7,2,0,1,538,813,0
74,1964-11-01,0,0.013432054426110736,0.16994759593891415,2200,4,4,0,1,816,760,0
75,1955-01-19,0,0.0024456981492859573,0.42660196232544406,2200,7,4,0,0,565,521,0
